scheme,avg_rtt,p95_rtt,loss
cubic,0.0014208058553843107,0.0028800000000000006,0.0480723074586055
bbr,0.001361276144424296,0.0024000000000000063,0.04511885459050999
vegas,0.0015991455902616082,0.003361999999999997,0.05464364299999171
